attack_signature,threat_name,threat_category,threat_description,mitigation_strategy,cve_references
SIG_00922,INAP Update Location Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00923,MAP Insert Subscriber Data Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_00924,CAP Send Authentication Info Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_00925,TCAP Provide Subscriber Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,CVE-2019-2523
SIG_00926,INAP Insert Subscriber Data Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_00927,MAP Insert Subscriber Data Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,CVE-2018-1887
SIG_00928,CAP Send Routing Info Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,CVE-2019-5306
SIG_00929,TCAP Update Location Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_00930,MAP Send Routing Info Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_00931,CAP Send Routing Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00932,MAP Any Time Interrogation Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00933,CAP Send Routing Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2021-6144
SIG_00934,TCAP Send Routing Info Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00935,INAP Insert Subscriber Data Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,CVE-2023-7665
SIG_00936,INAP Update Location Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,CVE-2018-1346
SIG_00937,CAP Send Authentication Info Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,CVE-2018-1452
SIG_00938,MAP Provide Subscriber Info Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,CVE-2019-3187
SIG_00939,INAP Send Authentication Info Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00940,TCAP Provide Subscriber Info Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,CVE-2019-3500
SIG_00941,MAP Send Authentication Info Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,CVE-2024-2747
SIG_00942,MAP Send Authentication Info Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00943,MAP Update Location Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,CVE-2020-2407
SIG_00944,CAP Provide Subscriber Info Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00945,INAP Send Routing Info Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,CVE-2022-7595
SIG_00946,INAP Send Routing Info Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2019-8130
SIG_00947,INAP Send Authentication Info Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00948,INAP Update Location Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00949,MAP Provide Subscriber Info Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,CVE-2020-1106
SIG_00950,TCAP Send Authentication Info Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00951,TCAP Send Routing Info Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00952,CAP Update Location Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00953,INAP Provide Subscriber Info Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00954,CAP Update Location Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,CVE-2019-7385
SIG_00955,TCAP Provide Subscriber Info Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,CVE-2020-1734
SIG_00956,INAP Any Time Interrogation Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,
SIG_00957,TCAP Send Routing Info Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,CVE-2020-4185
SIG_00958,INAP Send Routing Info Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,CVE-2018-2787
SIG_00959,TCAP Provide Subscriber Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_00960,CAP Update Location Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00961,TCAP Update Location Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential interception attempt,Alert security operations center,CVE-2019-5711
SIG_00962,CAP Send Routing Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_00963,TCAP Send Routing Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,CVE-2024-4156
SIG_00964,MAP Any Time Interrogation Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00965,TCAP Any Time Interrogation Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,CVE-2021-5335
SIG_00966,CAP Update Location Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00967,TCAP Send Authentication Info Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
SIG_00968,TCAP Provide Subscriber Info Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_00969,CAP Provide Subscriber Info Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00970,MAP Send Authentication Info Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00971,TCAP Any Time Interrogation Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00972,MAP Update Location Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00973,MAP Provide Subscriber Info Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00974,MAP Provide Subscriber Info Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_00975,TCAP Send Routing Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,CVE-2024-7762
SIG_00976,INAP Update Location Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,CVE-2019-5336
SIG_00977,CAP Provide Subscriber Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00978,TCAP Update Location Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00979,INAP Update Location Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00980,INAP Insert Subscriber Data Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_00981,TCAP Provide Subscriber Info Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,CVE-2021-8968
SIG_00982,INAP Update Location Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_00983,INAP Insert Subscriber Data Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00984,TCAP Any Time Interrogation Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00985,MAP Update Location Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,CVE-2018-3789
SIG_00986,CAP Insert Subscriber Data Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00987,CAP Send Authentication Info Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00988,MAP Insert Subscriber Data Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_00989,MAP Send Routing Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,CVE-2018-9833
SIG_00990,MAP Update Location Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2018-1588
SIG_00991,INAP Send Authentication Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Alert security operations center,CVE-2019-4453
SIG_00992,MAP Any Time Interrogation Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2020-6948
SIG_00993,INAP Update Location Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,
SIG_00994,CAP Any Time Interrogation Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00995,TCAP Provide Subscriber Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00996,INAP Any Time Interrogation Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,CVE-2021-2622
SIG_00997,INAP Send Routing Info Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00998,MAP Insert Subscriber Data Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00999,CAP Provide Subscriber Info Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_01000,TCAP Send Authentication Info Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_01001,MAP Any Time Interrogation Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_01002,TCAP Any Time Interrogation Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_01003,CAP Update Location Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_01004,TCAP Any Time Interrogation Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_01005,INAP Send Routing Info Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_01006,CAP Any Time Interrogation Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,CVE-2020-9911
SIG_01007,CAP Provide Subscriber Info Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_01008,CAP Any Time Interrogation Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_01009,INAP Update Location Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_01010,CAP Any Time Interrogation Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_01011,MAP Send Routing Info Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,CVE-2022-1973
SIG_01012,MAP Send Routing Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Alert security operations center,CVE-2019-4743
SIG_01013,TCAP Any Time Interrogation Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_01014,INAP Send Routing Info Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_01015,TCAP Any Time Interrogation Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2022-5607
SIG_01016,CAP Provide Subscriber Info Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Alert security operations center,CVE-2023-7249
SIG_01017,TCAP Send Authentication Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_01018,MAP Send Routing Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_01019,INAP Send Authentication Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_01020,CAP Send Authentication Info Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_01021,CAP Provide Subscriber Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_01022,MAP Any Time Interrogation Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,CVE-2021-6922
SIG_01023,MAP Send Authentication Info Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_01024,INAP Send Authentication Info Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,CVE-2018-9398
SIG_01025,TCAP Insert Subscriber Data Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_01026,MAP Send Authentication Info Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_01027,TCAP Any Time Interrogation Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_01028,INAP Update Location Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_01029,INAP Send Authentication Info Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,CVE-2020-6192
SIG_01030,MAP Insert Subscriber Data Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_01031,CAP Insert Subscriber Data Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_01032,CAP Any Time Interrogation Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_01033,INAP Send Routing Info Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_01034,TCAP Send Authentication Info Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_01035,INAP Provide Subscriber Info Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,
SIG_01036,MAP Update Location Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_01037,MAP Provide Subscriber Info Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_01038,CAP Update Location Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_01039,MAP Provide Subscriber Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_01040,CAP Send Authentication Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_01041,CAP Update Location Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_01042,MAP Update Location Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_01043,CAP Update Location Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_01044,TCAP Update Location Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_01045,TCAP Any Time Interrogation Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_01046,MAP Provide Subscriber Info Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_01047,INAP Provide Subscriber Info Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_01048,CAP Send Routing Info Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_01049,MAP Insert Subscriber Data Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,CVE-2022-9420
SIG_01050,CAP Send Authentication Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_01051,TCAP Update Location Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_01052,CAP Provide Subscriber Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_01053,CAP Update Location Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_01054,CAP Update Location Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,CVE-2021-2180
SIG_01055,TCAP Any Time Interrogation Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_01056,CAP Send Authentication Info Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_01057,INAP Insert Subscriber Data Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,CVE-2024-2414
SIG_01058,TCAP Send Authentication Info Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_01059,TCAP Insert Subscriber Data Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,CVE-2022-7859
SIG_01060,INAP Update Location Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_01061,TCAP Insert Subscriber Data Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_01062,INAP Any Time Interrogation Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,CVE-2024-3726
SIG_01063,MAP Any Time Interrogation Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_01064,INAP Any Time Interrogation Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_01065,INAP Provide Subscriber Info Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_01066,CAP Send Routing Info Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_01067,CAP Insert Subscriber Data Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_01068,CAP Provide Subscriber Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_01069,MAP Provide Subscriber Info Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_01070,INAP Send Routing Info Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,CVE-2019-9318
SIG_01071,MAP Provide Subscriber Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_01072,MAP Send Authentication Info Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_01073,TCAP Send Authentication Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,CVE-2018-3289
SIG_01074,CAP Update Location Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_01075,MAP Update Location Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_01076,MAP Insert Subscriber Data Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_01077,INAP Update Location Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential network probing,Block source GT immediately,CVE-2019-9717
SIG_01078,INAP Any Time Interrogation Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2023-8123
SIG_01079,TCAP Send Authentication Info Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,
SIG_01080,TCAP Insert Subscriber Data Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_01081,MAP Update Location Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_01082,TCAP Any Time Interrogation Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,CVE-2022-7657
SIG_01083,MAP Send Authentication Info Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_01084,INAP Provide Subscriber Info Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_01085,MAP Send Routing Info Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_01086,CAP Provide Subscriber Info Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_01087,MAP Provide Subscriber Info Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_01088,MAP Insert Subscriber Data Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,CVE-2024-2483
SIG_01089,MAP Update Location Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,CVE-2021-9090
SIG_01090,MAP Update Location Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_01091,TCAP Update Location Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_01092,INAP Send Authentication Info Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,CVE-2019-8642
SIG_01093,TCAP Insert Subscriber Data Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,CVE-2022-8336
SIG_01094,MAP Send Routing Info Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_01095,TCAP Update Location Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,
SIG_01096,MAP Any Time Interrogation Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_01097,TCAP Any Time Interrogation Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,CVE-2021-2913
SIG_01098,INAP Provide Subscriber Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
SIG_01099,TCAP Insert Subscriber Data Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_01100,INAP Insert Subscriber Data Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_01101,CAP Send Routing Info Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_01102,TCAP Insert Subscriber Data Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,CVE-2022-8130
SIG_01103,CAP Any Time Interrogation Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_01104,TCAP Insert Subscriber Data Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_01105,INAP Insert Subscriber Data Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_01106,CAP Send Authentication Info Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_01107,CAP Provide Subscriber Info Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_01108,CAP Insert Subscriber Data Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_01109,CAP Any Time Interrogation Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential network probing,Alert security operations center,CVE-2024-3234
SIG_01110,TCAP Any Time Interrogation Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_01111,INAP Insert Subscriber Data Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_01112,INAP Insert Subscriber Data Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_01113,CAP Send Authentication Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_01114,TCAP Send Routing Info Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_01115,INAP Provide Subscriber Info Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,
